epiweek,end_date,region,fips,covid_hospitalizations,flu_hospitalizations,doctor_visits,symptom_Fever,symptom_Low_grade_fever,symptom_Cough,symptom_Sore_throat,symptom_Headache,symptom_Fatigue,symptom_Vomiting,symptom_Diarrhea,symptom_Shortness_of_breath,symptom_Chest_pain,symptom_Dizziness,symptom_Confusion,symptom_Generalized_tonic_clonic_seizure,percent_ili,ilitotal,num_of_providers,total_patients,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b
202017,2020-04-25,US,US,1,0,,4.5128571428571425,0.27,4.008571428571429,1.3471428571428572,3.9957142857142856,3.8428571428571425,2.138571428571429,3.2800000000000002,0.9114285714285714,1.412857142857143,1.3914285714285715,0.25,0.15714285714285717,1.73315,15164,2652,750576,12822,20,8,0.218375,0.155982,0.0623928
202018,2020-05-02,US,US,1,0,,4.377142857142857,0.2342857142857143,3.6157142857142857,1.2542857142857142,3.9642857142857144,3.8771428571428572,2.1257142857142854,3.2885714285714287,0.8514285714285714,1.3757142857142857,1.4042857142857144,0.24,0.15714285714285717,1.40932,12817,2624,790715,10268,19,8,0.262953,0.185041,0.077912
202019,2020-05-09,US,US,1,0,,5.6571428571428575,0.21142857142857144,3.357142857142857,1.187142857142857,3.7685714285714282,3.8871428571428575,2.0942857142857143,3.224285714285714,0.78,1.2971428571428572,1.3771428571428572,0.23428571428571426,0.1542857142857143,1.18336,11066,2611,818113,8891,14,15,0.326173,0.157463,0.16871
202020,2020-05-16,US,US,1,0,,5.801428571428572,0.21857142857142858,3.2342857142857144,1.167142857142857,3.7885714285714287,3.9299999999999997,2.138571428571429,3.2600000000000002,0.7585714285714287,1.2842857142857143,1.4114285714285713,0.22571428571428573,0.15571428571428572,1.11451,10480,2601,846400,7844,14,10,0.305966,0.17848,0.127486
202021,2020-05-23,US,US,5,0,,4.228571428571429,0.20285714285714285,2.987142857142857,1.1371428571428572,3.815714285714286,3.9285714285714284,2.1485714285714286,3.322857142857143,0.7328571428571429,1.262857142857143,1.437142857142857,0.23428571428571426,0.1542857142857143,1.00534,11735,2971,1090638,7523,8,8,0.212681,0.106341,0.106341
202022,2020-05-30,US,US,1,0,,3.584285714285714,0.19142857142857145,2.7328571428571427,1.1057142857142856,3.748571428571428,3.8299999999999996,2.164285714285714,3.334285714285714,0.76,1.2671428571428573,1.4485714285714286,0.2285714285714286,0.15142857142857144,0.88827,9614,2950,1085294,6054,7,3,0.16518,0.115626,0.049554
202023,2020-06-06,US,US,3,0,,3.334285714285714,0.18,2.5357142857142856,1.04,3.617142857142857,3.751428571428572,2.087142857142857,3.2457142857142856,0.7071428571428572,1.2428571428571427,1.4057142857142857,0.24285714285714285,0.1542857142857143,0.814062,9325,2931,1137295,6181,9,12,0.339751,0.145608,0.194143
202024,2020-06-13,US,US,1,0,,3.5271428571428567,0.19285714285714287,2.664285714285714,1.1042857142857143,3.781428571428571,4.13,2.2600000000000002,3.487142857142857,0.6971428571428572,1.2685714285714287,1.522857142857143,0.24,0.16142857142857145,0.836751,9580,2902,1176074,5718,8,8,0.279818,0.139909,0.139909
202025,2020-06-20,US,US,0,0,,3.7414285714285715,0.23142857142857146,2.975714285714286,1.2042857142857142,3.85,4.265714285714286,2.3714285714285714,3.642857142857143,0.7071428571428572,1.2842857142857143,1.5557142857142858,0.23714285714285713,0.15857142857142859,0.928456,11866,2935,1247767,5247,12,8,0.38117,0.228702,0.152468
202026,2020-06-27,US,US,0,0,,4.271428571428571,0.2928571428571428,4.668571428571428,1.3257142857142858,4.005714285714285,4.425714285714286,2.43,3.882857142857143,0.7885714285714286,1.3457142857142856,1.637142857142857,0.24428571428571427,0.1642857142857143,1.14217,15499,2896,1288294,5667,9,7,0.282336,0.158814,0.123522
